"lapse","polholder_age","polholder_BMCevol","polholder_diffdriver","polholder_gender","polholder_job","policy_age","policy_caruse","policy_nbcontract","prem_final","prem_freqperyear","prem_last","prem_market","prem_pure","vehicl_age","vehicl_agepurchase","vehicl_garage","vehicl_powerkw","vehicl_region"
0,38,"stable","only partner","Male","normal",1,"private or freelance work",1,232.46,"4 per year",232.47,221.56,243.59,9,8,"private garage","225 kW","Reg7"
1,35,"stable","same","Male","normal",1,"private or freelance work",1,208.53,"4 per year",208.54,247.56,208.54,15,7,"private garage","100 kW","Reg4"
1,29,"stable","same","Male","normal",0,"private or freelance work",1,277.34,"1 per year",277.35,293.32,277.35,14,6,"underground garage","100 kW","Reg7"
0,33,"down","same","Female","medical",2,"private or freelance work",1,239.51,"4 per year",244.4,310.91,219.95,17,10,"street","75 kW","Reg5"
0,50,"stable","same","Male","normal",8,"unknown",1,554.54,"4 per year",554.55,365.46,519.5,16,8,"street","75 kW","Reg14"
0,37,"stable","only partner","Male","normal",1,"private or freelance work",1,266.46,"1 per year",266.46,341.88,266.46,13,10,"underground garage","100 kW","Reg4"
0,24,"up","same","Female","medical",1,"private or freelance work",1,707.6,"12 per year",561.2,767.09,707.6,5,4,"street","25-50 kW","Reg7"
0,52,"down","learner 17","Male","medical",1,"private or freelance work",2,289.88,"2 per year",295.8,392.98,266.22,10,4,"other","25-50 kW","Reg4"
0,32,"down","same","Female","normal",1,"private or freelance work",3,241.62,"12 per year",246.55,256.2,209.26,17,8,"street","75 kW","Reg14"
0,80,"stable","same","Male","normal",9,"unknown",1,310.76,"4 per year",310.77,258.65,299.72,16,4,"private garage","100 kW","Reg5"
0,48,"stable","same","Male","normal",2,"private or freelance work",1,285.85,"4 per year",285.86,285.17,285.86,17,13,"street","75 kW","Reg4"
0,35,"stable","only partner","Male","medical",0,"private or freelance work",1,177.31,"4 per year",177.33,211.12,177.33,4,0,"private garage","75 kW","Reg8"
0,71,"stable","same","Male","normal",2,"private or freelance work",1,205.81,"1 per year",196.34,283.04,205.81,18,6,"private garage","125-300 kW","Reg4"
0,28,"down","only partner","Male","medical",0,"private or freelance work",1,688.11,"2 per year",799.33,678.27,625.56,15,14,"private garage","75 kW","Reg8"
